Nome_Hotel,Tipologia_Sistemazione,Prezzo_Totale_10Notti,Rating,Distanza_Centro
House 5286,Appartamento con 1 Camera da Letto,4.202,"9,8",N/A
Ca' Meraviglia,Appartamento con 1 Camera da Letto,4.604,"8,3",N/A
CA' ARSENALE,Appartamento,7.090,"4,0",N/A
Bacino San Marco Exclusive View R&R,Appartamento con Vista Mare,12.909,"9,0",N/A
Ca'Lavinia -2 Double Suites with Private Bathrooms,Appartamento Deluxe con 2 Camere da Letto,4.760,N/A,N/A
Hideaway Biennale,Appartamento,5.726,"6,7",N/A
Au Nom de la Rose,Appartamento con Terrazza,5.715,"9,2",N/A
Nice Lovely Attic for 4 person with Wifi - A/C,Appartamento con 1 Camera da Letto,2.720,"5,7",N/A
Cà Fontana,Appartamento con 1 Camera da Letto,5.826,"8,2",N/A
Elegant Residence in the Authentic Charm of Castello,Appartamento con 4 Camere da Letto,17.274,N/A,N/A
Veneziacentopercento Gorne Apartment,Appartamento con 2 Camere da Letto,4.404,"8,9",N/A
Cà Vian,Appartamento con 2 Camere da Letto,5.622,"9,5",N/A
Veneziacentopercento Arco Apartment,Appartamento con 2 Camere da Letto,4.495,"7,7",N/A
Sogno sull'acqua,Appartamento,12.173,"8,2",N/A
Veneziacentopercento San Pietro Apartment,Appartamento con 2 Camere da Letto,4.191,"9,5",N/A
Cà Martinengo,Appartamento Deluxe,10.693,"8,9",N/A
Soderini Splendor: First Floor Palazzo Charm at Castello Square,Appartamento con 3 Camere da Letto,5.947,"9,5",N/A
Veneziacentopercento Ca' Riello Apartment,Appartamento con 2 Camere da Letto,4.283,"8,2",N/A
Residenza Marina,Monolocale,4.049,"6,2",N/A
Eight Venezia,Camera Standard Matrimoniale/Doppia con Letti Singoli,12.146,"9,3",N/A
Veneziacentopercento Ole Apartment,Appartamento con 3 Camere da Letto,5.032,"7,6",N/A
Celestia Panoramic Superior -Vista Mare,"Appartamento con 2 Camere da Letto, Balcone e Vista mare",7.670,"9,7",N/A
Venice Lovely Apatment for 7 person - AC -Wifi,Appartamento con 2 Camere da Letto,4.633,"7,0",N/A
Appartamento nel cuore di Venezia,Appartamento Superior,2.609,"3,0",N/A
Castello Apartment with Garden R&R,Appartamento con 2 Camere da Letto,6.197,"8,9",N/A
Le case di Rachele - Ca' Lorenzo e Ca' Raquel,Appartamento con 1 Camera da Letto e Vista Città,5.136,"9,3",N/A
Ca’ Amalia San Marco Venetian Apartment M027042932,Appartamento con 2 Camere da Letto,4.749,"7,2",N/A
Ca' San Lio,Appartamento con 1 Camera da Letto,5.178,"8,7",N/A
Gallery House,Appartamento con 3 Camere da Letto,5.075,"9,3",N/A
The Yacht House Canal View,Appartamento con 3 Camere da Letto e Vista Acqua,21.622,N/A,N/A
Magno Luxury Apt Canal View,Appartamento Deluxe con 2 Camere da Letto,10.190,N/A,N/A
San MArtino Apartment,Appartamento,5.262,"8,6",N/A
Corte Rubbi 3 Deluxe Studio-Apartment,Appartamento Monolocale,4.940,"9,3",N/A
Ca' Vittoria Serene Home - Heart of Venice,Appartamento - Piano Terra,5.028,"9,8",N/A
L'eclat du Jardin R&R,Appartamento Superior con 2 Camere da Letto,9.171,"7,4",N/A
Corte Formenta,Appartamento con 2 Camere da Letto,12.168,"9,0",N/A
Ca'Biennale 2,Appartamento,8.090,"7,7",N/A
Venetian Loft,Appartamento,10.946,"7,4",N/A
Canal View San Marco Rialto - Dogaressa Palace 1872,Appartamento con 2 Camere da Letto,13.370,N/A,N/A
